Name,Composition,Salt,Concentration,Code
Ca(NO₃)₂·4H₂O,1 Ca : 2 NO₃,Ca(NO₃)₂·4H₂O,0.001 M,101207301
Ca(NO₃)₂·4H₂O,1 Ca : 2 NO₃,Ca(NO₃)₂·4H₂O,0.0001 M,101207302
Ca(NO₃)₂·4H₂O,1 Ca : 2 NO₃,Ca(NO₃)₂·4H₂O,0.00005 M,101207303
Ca(NO₃)₂·4H₂O,1 Ca : 2 NO₃,Ca(NO₃)₂·4H₂O,0.00001 M,101207304
CaSO₄·2H₂O,1 Ca : 1 SO₄,CaSO₄·2H₂O,0.001 M,101210301
CaSO₄·2H₂O,1 Ca : 1 SO₄,CaSO₄·2H₂O,0.0001 M,101210302
CaSO₄·2H₂O,1 Ca : 1 SO₄,CaSO₄·2H₂O,0.00005 M,101210303
CaSO₄·2H₂O,1 Ca : 1 SO₄,CaSO₄·2H₂O,0.00001 M,101210304
CaCl₂·6H₂O,1 Ca : 2 Cl,CaCl₂·6H₂O,0.001 M,101201301
CaCl₂·6H₂O,1 Ca : 2 Cl,CaCl₂·6H₂O,0.0001 M,101201302
CaCl₂·6H₂O,1 Ca : 2 Cl,CaCl₂·6H₂O,0.00005 M,172.17
CaCl₂·6H₂O,1 Ca : 2 Cl,CaCl₂·6H₂O,0.00001 M,101201304
CaHPO₄·2H₂O,1 Ca : 1 HPO₄,CaHPO₄·2H₂O,0.001 M,101205301
CaHPO₄·2H₂O,1 Ca : 1 HPO₄,CaHPO₄·2H₂O,0.0001 M,101205302
CaHPO₄·2H₂O,1 Ca : 1 HPO₄,CaHPO₄·2H₂O,0.00005 M,101205303
CaHPO₄·2H₂O,1 Ca : 1 HPO₄,CaHPO₄·2H₂O,0.00001 M,101205304
MgCO₃,1 Mg : 1 CO₃,MgCO₃,0.001 M,104202301
MgCO₃,1 Mg : 1 CO₃,MgCO₃,0.0001 M,104202302
MgCO₃,1 Mg : 1 CO₃,MgCO₃,0.00005 M,104202303
MgCO₃,1 Mg : 1 CO₃,MgCO₃,0.00001 M,104202304
Mg(NO₃)₂·6H₂O,1 Mg : 2 NO₃,Mg(NO₃)₂·6H₂O,0.001 M,104207301
Mg(NO₃)₂·6H₂O,1 Mg : 2 NO₃,Mg(NO₃)₂·6H₂O,0.0001 M,104207302
Mg(NO₃)₂·6H₂O,1 Mg : 2 NO₃,Mg(NO₃)₂·6H₂O,0.00005 M,104207303
Mg(NO₃)₂·6H₂O,1 Mg : 2 NO₃,Mg(NO₃)₂·6H₂O,0.00001 M,104207304
MgSO₄·7H₂O,1 Mg : 1 SO₄,MgSO₄·7H₂O,0.001 M,104210301
MgSO₄·7H₂O,1 Mg : 1 SO₄,MgSO₄·7H₂O,0.0001 M,104210302
MgSO₄·7H₂O,1 Mg : 1 SO₄,MgSO₄·7H₂O,0.00005 M,104210303
MgSO₄·7H₂O,1 Mg : 1 SO₄,MgSO₄·7H₂O,0.00001 M,104210304
MgCl₂·6H₂O,1 Mg : 2 Cl,MgCl₂·6H₂O,0.001 M,104201301
MgCl₂·6H₂O,1 Mg : 2 Cl,MgCl₂·6H₂O,0.0001 M,104201302
MgCl₂·6H₂O,1 Mg : 2 Cl,MgCl₂·6H₂O,0.00005 M,104201303
MgCl₂·6H₂O,1 Mg : 2 Cl,MgCl₂·6H₂O,0.00001 M,104201304
