bar code code;in program ;aantal anion;;aantal kation;;mol/L;dilutie
123953100;1Ca 1 CO3;1;ca;1;CO3;0,1002;10
123953101;1Ca 1 CO3 B;1;ca;1;CO3;0,0668;15
123953102;1Ca 1 CO3 T;1;ca;1;CO3;0,0401;25
123953103;1Ca 1 CO3 F;1;ca;1;CO3;0,0200;50
123716100;1Ca 1 SO4 ;1;ca;1;SO4;0,0626;10
123716101;1Ca 1 SO4 B;1;ca;1;SO4;0,0417;15
123716102;1Ca 1 SO4 T;1;ca;1;SO4;0,0250;25
123716103;1Ca 1 SO4 F;1;ca;1;SO4;0,0125;50
A70000363656;1K 1HCO3;1;k;1;HCO3;0,1000;10
159183101;1K 1HCO3 B;1;k;1;HCO3;0,0137;15
159183102;1K 1HCO3 T;1;k;1;HCO3;0,0020;25
159183103;1K 1HCO3 F;1;k;1;HCO3;0,0012;50
A70000371359;2K 1CO3;2;k;1;CO3;0,1002;10
6153906499493;2K 1CO3 B;2;k;1;CO3;0,0668;15
6153906470409;2K 1CO3 T;2;k;1;CO3;0,0401;25
6153906293237;2K 1CO3 F;2;k;1;CO3;0,0200;50
A70000457439;1K 1Cl;1;k;1;cl;0,0999;10
6153907067059;1K 1Cl B;1;k;1;cl;0,0666;15
6153907054097;1K 1Cl T;1;k;1;cl;0,0400;25
6153907054042;1K 1Cl F;1;k;1;cl;0,0200;50
A70000371367;1Na 1HCO3;1;na;1;HCO3;0,1003;10
753183101;1Na 1HCO3 B;1;na;1;HCO3;0,0137;15
753183102;1Na 1HCO3 T;1;na;1;HCO3;0,0021;25
753183103;1Na 1HCO3 F;1;na;1;HCO3;0,0012;50
A70000363655;1Mg 1SO4;1;mg;1;SO4;0,0999;10
6153906779731;1Mg 1SO4 B;1;mg;1;SO4;0,0666;15
6153906688668;1Mg 1SO4 T;1;mg;1;SO4;0,0400;25
6153906683618;1Mg 1SO4 F;1;mg;1;SO4;0,0200;50
A70000259766;1Mg 2Cl;1;mg;2;cl;0,0999;10
6153907322325;1Mg 2Cl B;1;mg;2;cl;0,0666;15
6153907375321;1Mg 2Cl T;1;mg;2;cl;0,0400;25
6153907374324;1Mg 2Cl F;1;mg;2;cl;0,0200;50
789953100;1Mg 1CO3;1;mg;1;CO3;0,0000;10
789953101;1Mg 1CO3 B;1;mg;1;CO3;0,0667;15
789953102;1Mg 1CO3 T;1;mg;1;CO3;0,0000;25
789953103;1Mg 1CO3 F;1;mg;1;CO3;0,0000;50
A70000259800;2K 1SO4;2;k;1;SO4;0,1004;10
6153906896872;2K 1SO4 B;2;k;1;SO4;0,0032;15
6153906862891;2K 1SO4 T;2;k;1;SO4;0,0005;25
6153906799777;2K 1SO4 F;2;k;1;SO4;0,0003;50
A70000222564;1Na 1NO3;1;na;1;NO3;0,1000;10
6153906997906;1Na 1NO3 B;1;na;1;NO3;0,0109;15
6153906982919;1Na 1NO3 T;1;na;1;NO3;0,0018;25
6153906966971;1Na 1NO3 F;1;na;1;NO3;0,0011;50
A70000284429;1Na 1H2PO4;1;na;1;PO4;0,1001;10
6153907252226;1Na 1H2PO4 B;1;na;1;PO4;0,0667;15
6153907212237;1Na 1H2PO4 T;1;na;1;PO4;0,0400;25
6153907237216;1Na 1H2PO4 F;1;na;1;PO4;0,0200;50
A70000222567;2Na 1SO4;2;na;1;SO4;0,1000;10
6153906277237;2Na 1SO4 B;2;na;1;SO4;0,0217;15
6153906183187;2Na 1SO4 T;2;na;1;SO4;0,0036;25
6153906169167;2Na 1SO4 F;2;na;1;SO4;0,0022;50
A70000363967;1Ca 2NO3;1;ca;2;NO3;0,1002;10
6153907253278;1Ca 2NO3 B;1;ca;2;NO3;0,0668;15
6153907273283;1Ca 2NO3 T;1;ca;2;NO3;0,0401;25
6153907262225;1Ca 2NO3 F;1;ca;2;NO3;0,0200;50
123793100;1Ca 1HPO4;1;ca;1;PO4;0,0790;10
123793101;1Ca 1HPO4 B;1;ca;1;PO4;0,0527;15
123793102;1Ca 1HPO4 T;1;ca;1;PO4;0,0316;25
123793103;1Ca 1HPO4 F;1;ca;1;PO4;0,0158;50
741842100;1Sr 2NO3;1;sr;2;NO3;0,0000;10
741842101;1Sr 2NO3 B;1;sr;2;NO3;0,0667;15
741842102;1Sr 2NO3 T;1;sr;2;NO3;0,0000;25
741842103;1Sr 2NO3 F;1;sr;2;NO3;0,0000;50
456793100;1Fe 1PO4;1;Fe;1;PO4;0,0000;10
456793101;1Fe 1PO4 B;1;Fe;1;PO4;0,0667;15
456793102;1Fe 1PO4 T;1;Fe;1;PO4;0,0000;25
456793103;1Fe 1PO4 F;1;Fe;1;PO4;0,0000;50
A70000259762;3Na 1PO4;3;na;1;PO4;0,0758;10
753793101;3Na 1PO4 B;3;na;1;PO4;0,0506;15
753793102;3Na 1PO4 T;3;na;1;PO4;0,0303;25
753793103;3Na 1PO4 F;3;na;1;PO4;0,0152;50
A70000371363;2Na 1HPO4;2;na;1;PO4;0,0793;10
6153907022089;2Na 1HPO4 B;2;na;1;PO4;0,0529;15
6153907016064;2Na 1HPO4 T;2;na;1;PO4;0,0317;25
6153907013094;2Na 1HPO4 F;2;na;1;PO4;0,0159;50
A70000363975;2K 1HPO4;2;k;1;PO4;1,0005;10
6153906065070;2K 1HPO4 B;2;k;1;PO4;0,6670;15
6153906090058;2K 1HPO4 T;2;k;1;PO4;0,4002;25
6153906096081;2K 1HPO4 F;2;k;1;PO4;0,2001;50
A70000222571;1 Na 1 Cl;1;na;1;cl;0,1000;10
6153907428409;1 Na 1 Cl B;1;na;1;cl;0,0667;15
6153907443419;1 Na 1 Cl T;1;na;1;cl;0,0400;25
6153907463486;1 Na 1 Cl F;1;na;1;cl;0,0200;50
A70000284425;1 Na 1 GLU;1;na;1;MSG;0,1000;10
6153907097094;1 Na 1 GLU;1;na;1;MSG;0,0667;15
6153907092044;1 Na 1 GLU;1;na;1;MSG;0,0400;25
6153907074057;1 Na 1 GLU;1;na;1;MSG;0,0200;50
A70000457450;1 Ca 2 Cl;1;ca;2;cl;0,1000;10
6153907847842;1 Ca 2 Cl;1;ca;2;cl;0,0667;15
6153907799769;1 Ca 2 Cl;1;ca;2;cl;0,0400;25
6153907781788;1 Ca 2 Cl;1;ca;2;cl;0,0200;50
