"0,5L baccorde",bar code code,in program ,aantal anion,,aantal kation,,mol/L,dilutie,aanwezig,
,123953100,1Ca 1 CO3,1,ca,1,CO3,0.100209811169947,10,,
,123953101,1Ca 1 CO3 B,1,ca,1,CO3,0.0668065407799647,15,,
,123953102,1Ca 1 CO3 T,1,ca,1,CO3,0.0400839244679788,25,,
,123953103,1Ca 1 CO3 F,1,ca,1,CO3,0.0200419622339894,50,,
,123716100,1Ca 1 SO4 ,1,ca,1,SO4,0.0625638669313655,10,,
,123716101,1Ca 1 SO4 B,1,ca,1,SO4,0.0417092446209103,15,,
,123716102,1Ca 1 SO4 T,1,ca,1,SO4,0.0250255467725462,25,,
,123716103,1Ca 1 SO4 F,1,ca,1,SO4,0.0125127733862731,50,,
,A70000363656,1K 1HCO3,1,k,1,HCO3,0.0999900109879133,10,x,
,159183101,1K 1HCO3 B,1,k,1,HCO3,0.0136553603993108,15,,
,159183102,1K 1HCO3 T,1,k,1,HCO3,0.00204830405989662,25,,
,159183103,1K 1HCO3 F,1,k,1,HCO3,0.00122898243593797,50,,
,A70000371359,2K 1CO3,2,k,1,CO3,0.100209825627668,10,x,
6153907543522,6153906499493,2K 1CO3 B,2,k,1,CO3,0.0668065504184454,15,x,x
,6153906470409,2K 1CO3 T,2,k,1,CO3,0.0400839302510672,25,x,
,6153906293237,2K 1CO3 F,2,k,1,CO3,0.0200419651255336,50,x,
,A70000222563,1K 1Cl,1,k,1,cl,0.0999195278969957,10,x,
6153907565517,6153907067059,1K 1Cl B,1,k,1,cl,0.0666130185979971,15,x,x
,6153907054097,1K 1Cl T,1,k,1,cl,0.0399678111587983,25,x,
,6153907054042,1K 1Cl F,1,k,1,cl,0.0199839055793991,50,x,
,A70000371367,1Na 1HCO3,1,na,1,HCO3,0.100345197000357,10,x,
,753183101,1Na 1HCO3 B,1,na,1,HCO3,0.0137038671747456,15,,
,753183102,1Na 1HCO3 T,1,na,1,HCO3,0.00205558007621184,25,,
,753183103,1Na 1HCO3 F,1,na,1,HCO3,0.0012333480457271,50,,
,A70000363655,1Mg 1SO4,1,mg,1,SO4,0.0998903509811525,10,x,
6153907625624,6153906779731,1Mg 1SO4 B,1,mg,1,SO4,0.0665935673207683,15,x,x
,6153906688668,1Mg 1SO4 T,1,mg,1,SO4,0.039956140392461,25,x,
,6153906683618,1Mg 1SO4 F,1,mg,1,SO4,0.0199780701962305,50,x,
,A70000259766,1Mg 2Cl,1,mg,2,cl,0.0999095107799517,10,x,
6153907276222,6153907322325,1Mg 2Cl B,1,mg,2,cl,0.0666063405199678,15,x,x
,6153907375321,1Mg 2Cl T,1,mg,2,cl,0.0399638043119807,25,x,
,6153907374324,1Mg 2Cl F,1,mg,2,cl,0.0199819021559904,50,x,
,789953100,1Mg 1CO3,1,mg,1,CO3,0,10,,
,789953101,1Mg 1CO3 B,1,mg,1,CO3,0.0666600073252755,15,,
,789953102,1Mg 1CO3 T,1,mg,1,CO3,0,25,,
,789953103,1Mg 1CO3 F,1,mg,1,CO3,0,50,,
,A70000259800,2K 1SO4,2,k,1,SO4,0.10036150800482,10,x,
,6153906896872,2K 1SO4 B,2,k,1,SO4,0.00320848810757098,15,,
,6153906862891,2K 1SO4 T,2,k,1,SO4,0.000534748017928496,25,,
,6153906799777,2K 1SO4 F,2,k,1,SO4,0.000256679048605678,50,,
,A70000222564,1Na 1NO3,1,na,1,NO3,0.100011766090128,10,x,
,6153906997906,1Na 1NO3 B,1,na,1,NO3,0.0108755726500792,15,,
,6153906982919,1Na 1NO3 T,1,na,1,NO3,0.00181259544167987,25,,
,6153906966971,1Na 1NO3 F,1,na,1,NO3,0.00108755726500792,50,,
,A70000284429,1Na 1H2PO4,1,na,1,PO4,0.1000941278892,10,x,
6153907689626,6153907252226,1Na 1H2PO4 B,1,na,1,PO4,0.0667294185928,15,x,x
